objectid	filename	youtubeid	vimeoid	title	creator	date	description	subject	location	latitude	longitude	source	identifier	type	format	language	rights	rightsstatement
demo_001	demo_001.jpg			Administration Building, University of Idaho, No. 30	Pacific Photo Co.	1910	Photographic postcard of the University of Idaho administration building in Moscow, Idaho.	universities; buildings; campuses; postcards	Moscow, Idaho	46.725562	-117.009633	PG 9, Postcard Collection, University of Idaho Library	pg_9_12_01bl	Image;StillImage	image/jpeg	eng	Public Domain	https://creativecommons.org/publicdomain/mark/1.0/
demo_002	demo_002.pdf			Spokane County Court House, Spokane, Washington	Spokane Post Card Co.	1912-09-08	Postcard of Spokane County Courthouse mailed 9/8/1912 from Spokane to San Francisco.	public buildings; courthouses; postcards	Spokane, Washington	47.66432	-117.428031	PG 107, Knowles Postcard Collection, University of Idaho Library	Postcard_032	Image;StillImage	application/pdf	eng	Public Domain	https://creativecommons.org/publicdomain/mark/1.0/
demo_003	demo_003.mp3			Good News - Power (Radio Episode Excerpt)	Robinson, Frank B.	1947	Excerpt from Psychiana radio program discussing faith, failure, and success.	radio; philosophy; self-improvement	Moscow, Idaho	46.733001	-116.991779	Psychiana Digital Collection, University of Idaho Library	Good_News_08	Audio	audio/mp3	eng	In Copyright - Educational Use Permitted	http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_004		CVXQ3X6Q8oU		University of Idaho vs. University of Southern California (Football)	Vandal Athletics	1925-10-30	Historic football game at Neale Stadium; Idaho vs USC (7–51).	football; athletics; sports history	Moscow, Idaho	46.726113	-117.015671	Vandal Video Collection, University of Idaho Library	MG_23_Item_29	Image;MovingImage	video/mp4	eng	In Copyright - Educational Use Permitted	http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_005			464555587	Interview with K. Silem Mohammad	Becker, Devin	2014-06-16	Oral history interview discussing poetry and digital writing practices.	poetry; digital media; interview	Ashland, Oregon	42.1916714	-122.728533	CTRL+Shift, University of Idaho Library	CTRL_SHIFT_KSM	Image;MovingImage	video/mp4	eng	In Copyright - Educational Use Permitted	http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_006	https://www.lib.uidaho.edu/collectionbuilder/demo-objects/demo_006.jpg			Ford pumper used for slash burning control	Thompson, J. B.	1932-09-01	Photograph of Ford pumper used in forestry burn operations at Benton Creek.	forestry; environmental management	Bonner County, Idaho	48.34472222	-116.8483333	Experimental Forest Archive, University of Idaho Library	FirePump1	Image;StillImage	image/jpeg	eng	Public Domain	https://creativecommons.org/publicdomain/mark/1.0/
demo_007	https://www.doi.org/10.1577/M02-113			Influence of Fishway Placement on Salmon Fallback	Reischel, T.S.; Bjornn, T.C.	2003	Journal article on salmon migration and dam fishway placement.	fisheries; ecology; dams	Bonneville Dam	45.6442837	-121.9428256	North American Journal of Fisheries Management	DOI_10.1577_M02-113	Text	record	eng	Rights vary	
demo_008	controlled_visual_System_01_feature.png			Controlled Visual System Diagram	JurisArt Atelier; Kurlan, Cali D.	2026	Gallery installation image with theoretical and mathematical overlay.	visual systems; installation art; diagrams				JurisArt Atelier Archive	CVS_01	Image;StillImage	image/png	eng	In Copyright - Educational Use Permitted	https://rightsstatements.org/vocab/InC-EDU/1.0/
demo_009	Foreword.pdf			Foreword	O'Doherty, Brian	2011	Foreword discussing archive theory, scholarship, and Kantian frameworks.	philosophy; archives; theory	Los Angeles, California			Getty Research Journal, no. 3	Getty_Foreword	Text;StillImage	application/pdf	eng	CC BY-NC 4.0	https://creativecommons.org/licenses/by-nc/4.0/
demo_010	Ireland-Labyrinth-DoubleHelix.jpg			Labyrinth (Double Helix)	Ireland, Patrick	1969-1993	Installation artwork exhibited at P.S.1 Contemporary Art Center; photograph by Larry Qualls.	installation art; conceptual art	New York, New York	40.745367	-73.947977	Larry Qualls Archive	SSID_14261892	Image;StillImage	image/jpeg	eng	Artstor Collection	https://www.jstor.org/terms
demo_011	Pi-in-the-Mandelbrot.pdf			Pi in the Mandelbrot Set Everywhere	Brockmoeller, Thies; Scherz, Oscar; Srkalovic, Nedim	2025-05-11	Mathematics paper on emergence of pi within Mandelbrot set structures.	mathematics; dynamical systems	Ithaca, New York	42.4534	-76.4735	arXiv	arXiv_2505.07138	Text;StillImage	application/pdf	eng	Open Access	https://arxiv.org/abs/2505.07138
demo_012	haendel_theme_time_fruit.jpg			Theme Time – Fruit (Drawing)	Haendel, Karl; Wedemeyer, R.	2014	Drawing exploring controlled visual language and image systems.	contemporary art; drawing	New York, New York	40.7395877	-74.0088629	Whitney Museum Image Archive	Haendel_TTF	Image;StillImage	image/jpeg	eng	© Karl Haendel	All rights reserved
demo_013	install_pedestal.png			Installation Pedestal	JurisArt Atelier; Kurlan, Cali D.	2026	Documentation of pedestal display within visual systems installation.	installation; display systems				JurisArt Atelier Archive	install_pedestal	Image;StillImage	image/png	eng	All rights reserved	
demo_014	order_feature.png			Order Feature	JurisArt Atelier; Kurlan, Cali D.	2026	Study of ordering logic within exhibition systems.	visual systems; order				JurisArt Atelier Archive	order_feature	Image;StillImage	image/png	eng	All rights reserved	
demo_015	overlay_01.png			Overlay Study 01	JurisArt Atelier; Kurlan, Cali D.	2026	Diagrammatic overlay exploring spatial and informational layering.	visual systems; overlay				JurisArt Atelier Archive	overlay_01	Image;StillImage	image/png	eng	All rights reserved	
demo_016								2026								Image;StillImage				
demo_017								2026								Image;StillImage				
demo_018								2026								Image;StillImage				
demo_019								2026								Image;StillImage				
demo_020								2026								Image;StillImage				
